deserve|You deserve a reward for your hard work.|verb
undeserved|She felt guilty about receiving undeserved praise.|adjective
server|The server brought our food quickly.|noun
servant|The servant opened the door for the guests.|noun
servile|He had a servile attitude toward his boss.|adjective
servitude|The prisoners were forced into servitude.|noun
service|The company provides excellent customer service.|noun
disservice|Spreading false rumors does a disservice to everyone.|noun
serviceable|The old bike was still serviceable after some repairs.|adjective
variant|This virus has a new variant spreading rapidly.|noun
variable|The weather is a variable we must consider.|noun
variation|There is a slight variation in the fabric’s color.|noun
variety|The garden has a wide variety of flowers.|noun
various|We tried various methods to solve the problem.|adjective
varicolored|The artist painted a varicolored sunset across the sky.|adjective
